extractor,seed,block,method,events,expected,arl0_hat,p_value,dispersion,stream_windows
imagenet,50,layer4,EWMA,39,29.99735135135135,284.5902564102564,0.1295606611505475,2.0769230769230775,11099.02
imagenet,50,layer4,SPE,34,29.99735135135135,326.44176470588235,0.5107851767205657,0.6013071895424837,11099.02
imagenet,50,layer4,CUSUM-R,0,29.99735135135135,inf,1.8764881753442784e-13,,11099.02
imagenet,50,vae_latent,KSWIN,47,29.99735135135135,236.14936170212766,0.00489272363365632,1.1843971631205672,11099.02
imagenet,50,vae_latent,KL-Gauss,18,29.99735135135135,616.6122222222223,0.02589541529640437,1.9506172839506173,11099.02
imagenet,50,vae_latent,KL-Hist,48,29.99735135135135,231.22958333333335,0.0029715127107608334,1.2407407407407407,11099.02
imagenet,50,vae_latent,HDDDM,31,29.99735135135135,358.0329032258065,0.9029122081784053,0.6057347670250897,11099.02
imagenet,50,vae_latent,PSI,51,29.99735135135135,217.6278431372549,0.0005948569371677758,1.3267973856209152,11099.02
imagenet,50,vae_latent,T2,42,29.99735135135135,264.26238095238097,0.04416006020562359,0.9947089947089948,11099.02
imagenet,50,vae_latent,Frechet,18,29.99735135135135,616.6122222222223,0.02589541529640437,1.08641975308642,11099.02
imagenet,50,vae_latent,MMD,29,29.99735135135135,382.7248275862069,0.9518187558646063,1.3371647509578546,11099.02
imagenet,50,vae_latent,CUSUM,5216,29.99735135135135,2.127879601226994,0.0,598.424591002045,11099.02
imagenet,50,vae_latent,EWMA,31,29.99735135135135,358.0329032258065,0.9029122081784053,1.4659498207885306,11099.02
imagenet,50,vae_latent,SPE,19,29.99735135135135,584.1589473684211,0.043794321786458534,1.4561403508771933,11099.02
imagenet,50,vae_latent,CUSUM-R,48,29.99735135135135,231.22958333333335,0.0029715127107608334,0.08333333333333333,11099.02
imagenet,50,pixel,VAE,28,29.99735135135135,396.3935714285714,0.8065368932206457,0.6190476190476191,11099.02
imagenet,51,layer1,KSWIN,27,29.99735135135135,411.07481481481483,0.6660853591059495,1.814814814814815,11099.02
imagenet,51,layer1,KL-Gauss,185,29.99735135135135,59.9947027027027,9.881380634440887e-81,0.9039039039039038,11099.02
imagenet,51,layer1,KL-Hist,21,29.99735135135135,528.5247619047619,0.10898833848711728,0.5767195767195767,11099.02
imagenet,51,layer1,HDDDM,28,29.99735135135135,396.3935714285714,0.8065368932206457,0.380952380952381,11099.02
imagenet,51,layer1,PSI,26,29.99735135135135,426.8853846153846,0.5349856860331688,0.6153846153846155,11099.02
imagenet,51,layer1,T2,32,29.99735135135135,346.844375,0.762341681982474,0.8888888888888891,11099.02
imagenet,51,layer1,Frechet,59,29.99735135135135,188.11898305084748,3.7473444492854796e-06,1.2222222222222223,11099.02
imagenet,51,layer1,MMD,36,29.99735135135135,308.30611111111114,0.3145269908333174,0.8765432098765433,11099.02
imagenet,51,layer1,CUSUM,0,29.99735135135135,inf,1.8764881753442784e-13,,11099.02
imagenet,51,layer1,EWMA,35,29.99735135135135,317.11485714285715,0.4051033856438455,0.7142857142857143,11099.02
imagenet,51,layer1,SPE,117,29.99735135135135,94.86341880341881,4.170907778698611e-33,0.6847103513770181,11099.02
imagenet,51,layer1,CUSUM-R,0,29.99735135135135,inf,1.8764881753442784e-13,,11099.02
imagenet,51,layer2,KSWIN,28,29.99735135135135,396.3935714285714,0.8065368932206457,1.1746031746031749,11099.02
imagenet,51,layer2,KL-Gauss,38,29.99735135135135,292.07947368421054,0.17786386514626654,0.8654970760233918,11099.02
imagenet,51,layer2,KL-Hist,24,29.99735135135135,462.4591666666667,0.3147097585278856,0.38888888888888884,11099.02
imagenet,51,layer2,HDDDM,28,29.99735135135135,396.3935714285714,0.8065368932206457,2.8412698412698405,11099.02
imagenet,51,layer2,PSI,22,29.99735135135135,504.5009090909091,0.16127648623203544,0.6868686868686867,11099.02
imagenet,51,layer2,T2,26,29.99735135135135,426.8853846153846,0.5349856860331688,0.7863247863247862,11099.02
imagenet,51,layer2,Frechet,72,29.99735135135135,154.15305555555557,1.1572607018676593e-10,0.5493827160493827,11099.02
imagenet,51,layer2,MMD,25,29.99735135135135,443.9608,0.4169855622387186,0.5555555555555556,11099.02
imagenet,51,layer2,CUSUM,6096,29.99735135135135,1.8207053805774278,0.0,499.66615631379415,11099.02
imagenet,51,layer2,EWMA,29,29.99735135135135,382.7248275862069,0.9518187558646063,0.5708812260536399,11099.02
imagenet,51,layer2,SPE,50,29.99735135135135,221.9804,0.001035834461630611,1.2444444444444445,11099.02
imagenet,51,layer2,CUSUM-R,50,29.99735135135135,221.9804,0.001035834461630611,0.13333333333333333,11099.02
imagenet,51,layer3,KSWIN,44,29.99735135135135,252.25045454545455,0.01944347440014765,1.525252525252525,11099.02
imagenet,51,layer3,KL-Gauss,13,29.99735135135135,853.7707692307692,0.0008158375220350545,0.6923076923076922,11099.02
imagenet,51,layer3,KL-Hist,43,29.99735135135135,258.1167441860465,0.029600447151720666,0.7260981912144703,11099.02
imagenet,51,layer3,HDDDM,25,29.99735135135135,443.9608,0.4169855622387186,0.5555555555555556,11099.02
imagenet,51,layer3,PSI,45,29.99735135135135,246.6448888888889,0.01251887712071482,0.4074074074074074,11099.02
imagenet,51,layer3,T2,39,29.99735135135135,284.5902564102564,0.1295606611505475,0.8803418803418805,11099.02
imagenet,51,layer3,Frechet,28,29.99735135135135,396.3935714285714,0.8065368932206457,0.5396825396825397,11099.02
imagenet,51,layer3,MMD,32,29.99735135135135,346.844375,0.762341681982474,0.6111111111111109,11099.02
imagenet,51,layer3,CUSUM,0,29.99735135135135,inf,1.8764881753442784e-13,,11099.02
imagenet,51,layer3,EWMA,29,29.99735135135135,382.7248275862069,0.9518187558646063,0.3409961685823755,11099.02
imagenet,51,layer3,SPE,94,29.99735135135135,118.07468085106383,1.764474354214573e-20,1.6832151300236406,11099.02
imagenet,51,layer3,CUSUM-R,28,29.99735135135135,396.3935714285714,0.8065368932206457,0.14285714285714285,11099.02
imagenet,51,layer4,KSWIN,41,29.99735135135135,270.7078048780488,0.06454531826062763,1.3252032520325205,11099.02
imagenet,51,layer4,KL-Gauss,52,29.99735135135135,213.4426923076923,0.0003354812952195311,1.05982905982906,11099.02
imagenet,51,layer4,KL-Hist,36,29.99735135135135,308.30611111111114,0.3145269908333174,1.4938271604938276,11099.02
imagenet,51,layer4,HDDDM,31,29.99735135135135,358.0329032258065,0.9029122081784053,1.1075268817204302,11099.02
imagenet,51,layer4,PSI,37,29.99735135135135,299.9735135135135,0.23905332585359146,1.3843843843843844,11099.02
imagenet,51,layer4,T2,47,29.99735135135135,236.14936170212766,0.00489272363365632,1.7044917257683219,11099.02
imagenet,51,layer4,Frechet,22,29.99735135135135,504.5009090909091,0.16127648623203544,1.1919191919191918,11099.02
imagenet,51,layer4,MMD,39,29.99735135135135,284.5902564102564,0.1295606611505475,0.7094017094017097,11099.02
imagenet,51,layer4,CUSUM,11079,29.99735135135135,1.0018070222944309,0.0,0.0357934430504157,11099.02
imagenet,51,layer4,EWMA,37,29.99735135135135,299.9735135135135,0.23905332585359146,1.8048048048048047,11099.02
imagenet,51,layer4,SPE,41,29.99735135135135,270.7078048780488,0.06454531826062763,0.6205962059620598,11099.02
imagenet,51,layer4,CUSUM-R,304,29.99735135135135,36.50993421052632,8.766048144699576e-189,0.1769005847953216,11099.02
imagenet,51,vae_latent,KSWIN,31,29.99735135135135,358.0329032258065,0.9029122081784053,0.6057347670250895,11099.02
imagenet,51,vae_latent,KL-Gauss,30,29.99735135135135,369.96733333333333,1.0,1.3333333333333333,11099.02
imagenet,51,vae_latent,KL-Hist,30,29.99735135135135,369.96733333333333,1.0,0.6666666666666666,11099.02
imagenet,51,vae_latent,HDDDM,38,29.99735135135135,292.07947368421054,0.17786386514626654,0.6900584795321638,11099.02
imagenet,51,vae_latent,PSI,29,29.99735135135135,382.7248275862069,0.9518187558646063,0.8773946360153256,11099.02
imagenet,51,vae_latent,T2,48,29.99735135135135,231.22958333333335,0.0029715127107608334,0.5462962962962963,11099.02
imagenet,51,vae_latent,Frechet,34,29.99735135135135,326.44176470588235,0.5107851767205657,0.8627450980392157,11099.02
imagenet,51,vae_latent,MMD,17,29.99735135135135,652.8835294117647,0.014558440263916502,1.1830065359477122,11099.02
imagenet,51,vae_latent,CUSUM,5390,29.99735135135135,2.059187384044527,0.0,603.0451453308596,11099.02
imagenet,51,vae_latent,EWMA,35,29.99735135135135,317.11485714285715,0.4051033856438455,0.7777777777777778,11099.02
imagenet,51,vae_latent,SPE,33,29.99735135135135,336.33393939393943,0.6305684487342333,0.7441077441077442,11099.02
imagenet,51,vae_latent,CUSUM-R,51,29.99735135135135,217.6278431372549,0.0005948569371677758,0.28104575163398693,11099.02
imagenet,51,pixel,VAE,73,29.99735135135135,152.0413698630137,4.7126804829886314e-11,1.371385083713851,11099.02
imagenet,52,layer1,KSWIN,38,29.99735135135135,292.07947368421054,0.17786386514626654,1.567251461988304,11099.02
imagenet,52,layer1,KL-Gauss,65,29.99735135135135,170.75415384615386,4.23070044612401e-08,0.3504273504273504,11099.02
imagenet,52,layer1,KL-Hist,22,29.99735135135135,504.5009090909091,0.16127648623203544,0.8888888888888888,11099.02
imagenet,52,layer1,HDDDM,27,29.99735135135135,411.07481481481483,0.6660853591059495,0.9917695473251029,11099.02
imagenet,52,layer1,PSI,25,29.99735135135135,443.9608,0.4169855622387186,0.5555555555555556,11099.02
imagenet,52,layer1,T2,29,29.99735135135135,382.7248275862069,0.9518187558646063,0.7241379310344827,11099.02
imagenet,52,layer1,Frechet,62,29.99735135135135,179.01645161290324,4.2678004006325684e-07,0.3512544802867384,11099.02
imagenet,52,layer1,MMD,34,29.99735135135135,326.44176470588235,0.5107851767205657,1.2549019607843135,11099.02
imagenet,52,layer1,CUSUM,0,29.99735135135135,inf,1.8764881753442784e-13,,11099.02
imagenet,52,layer1,EWMA,27,29.99735135135135,411.07481481481483,0.6660853591059495,0.9094650205761317,11099.02
